역명,주소,사유
상수,서울특별시 마포구 독막로 지하85(상수동),'NoneType' object is not subscriptable
광흥창(서강),서울특별시 마포구 독막로 지하165(창전동),'NoneType' object is not subscriptable
대흥(서강대앞),서울특별시 마포구 대흥로 지하85(대흥동),'NoneType' object is not subscriptable
공덕,서울특별시 마포구 백범로 지하200(공덕동),'NoneType' object is not subscriptable
효창공원앞,서울특별시 용산구 백범로 지하287(효창동),'NoneType' object is not subscriptable
삼각지,서울특별시 용산구 한강대로 지하185(한강로1가),'NoneType' object is not subscriptable
녹사평(용산구청),서울특별시 용산구 녹사평대로 지하195(용산동4가),'NoneType' object is not subscriptable
이태원,서울특별시 용산구 이태원로 지하177(이태원동),'NoneType' object is not subscriptable
한강진,서울특별시 용산구 이태원로 지하287(한남동),'NoneType' object is not subscriptable
버티고개,서울특별시 중구 다산로 지하38(신당동),'NoneType' object is not subscriptable
약수,서울특별시 중구 다산로 지하115(신당동),'NoneType' object is not subscriptable
청구,서울특별시 중구 청구로 지하77(신당동),'NoneType' object is not subscriptable
신당,서울특별시 중구 다산로 지하260(흥인동),'NoneType' object is not subscriptable
동묘앞,서울특별시 종로구 지봉로 지하24(숭인동),'NoneType' object is not subscriptable
창신,서울특별시 종로구 지봉로 지하112(창신동),'NoneType' object is not subscriptable
보문,서울특별시 성북구 보문로 지하116(보문동1가),'NoneType' object is not subscriptable
안암(고대병원앞),서울특별시 성북구 고려대로 지하89(안암동5가),'NoneType' object is not subscriptable
고려대(종암),서울특별시 성북구 종암로 지하1(종암동),'NoneType' object is not subscriptable
월곡(동덕여대),서울특별시 성북구 월곡로 지하107(하월곡동),'NoneType' object is not subscriptable
상월곡(한국과학기술연구원),서울특별시 성북구 화랑로 지하157(상월곡동),'NoneType' object is not subscriptable
돌곶이,서울특별시 성북구 화랑로 지하243(석관동),'NoneType' object is not subscriptable
석계,서울특별시 노원구 화랑로 지하 347-1(월계동) ,'NoneType' object is not subscriptable
태릉입구,서울특별시 노원구 동일로 지하 992-1(공릉동),'NoneType' object is not subscriptable
화랑대(서울여대입구),서울특별시 노원구 화랑로 지하510(공릉동),'NoneType' object is not subscriptable
봉화산(서울의료원),서울특별시 중랑구 신내로 지하232(신내동),'NoneType' object is not subscriptable
신내,서울특별시 중랑구 용마산로136길 33 신내차량기지,'NoneType' object is not subscriptable
장암,경기도 의정부시 동일로 121(장암동),'NoneType' object is not subscriptable
도봉산,서울특별시 도봉구 도봉로 964-40(도봉동),'NoneType' object is not subscriptable
수락산,서울특별시 노원구 동일로 지하1662(상계동),'NoneType' object is not subscriptable
마들,서울특별시 노원구 동일로 지하1530-1(상계동),'NoneType' object is not subscriptable
노원,서울특별시 노원구 동일로 지하1409(상계동),'NoneType' object is not subscriptable
중계,서울특별시 노원구 동일로 지하1308-1(중계동),'NoneType' object is not subscriptable
하계,서울특별시 노원구 동일로 지하1196(하계동),'NoneType' object is not subscriptable
공릉(서울과학기술대),서울특별시 노원구 동일로 지하1074(공릉동),'NoneType' object is not subscriptable
태릉입구,서울특별시 노원구 동일로 지하 992-1(공릉동),'NoneType' object is not subscriptable
먹골,서울특별시 중랑구 동일로 지하901(묵동),'NoneType' object is not subscriptable
중화,서울특별시 중랑구 동일로 지하797(중화동),'NoneType' object is not subscriptable
상봉,서울특별시 중랑구 망우로 297(상봉동),'NoneType' object is not subscriptable
면목,서울특별시 중랑구 면목로 지하407(면목동) ,'NoneType' object is not subscriptable
사가정,서울특별시 중랑구 사가정로 지하393(면목동),'NoneType' object is not subscriptable
용마산(용마폭포공원),서울특별시 중랑구 용마산로 지하227(면목동),'NoneType' object is not subscriptable
중곡,서울특별시 광진구 능동로 지하417(중곡동),'NoneType' object is not subscriptable
군자(능동),서울특별시 광진구 천호대로 지하550(능동),'NoneType' object is not subscriptable
어린이대공원(세종대),서울특별시 광진구 능동로 지하210(화양동),'NoneType' object is not subscriptable
건대입구,서울특별시 광진구 능동로 지하110(화양동),'NoneType' object is not subscriptable
자양(뚝섬유원지),서울특별시 광진구 능동로 10(자양동),'NoneType' object is not subscriptable
청담,서울특별시 강남구 학동로 지하508(청담동),'NoneType' object is not subscriptable
